layer,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,pnl
L1,1735783200,1735820880,long,5967.0,5921.5,STOP_LOSS_SOFT,-2275.0
L1,1735898400,1736124240,long,5950.5,5991.75,TIME_CAP,2062.5
L1,1736157600,1736210640,long,6049.25,6011.75,TIME_CAP,-1875.0
L1,1736258400,1736311440,short,5977.25,5969.25,TIME_CAP,400.0
L1,1736733600,1736783040,long,5843.75,5862.0,TIME_CAP,912.5
L1,1737396000,1737403200,short,6055.25,6006.6338947806,TAKE_PROFIT_HARD,2430.81
L1,1737669600,1737719040,long,6154.5,6155.25,TIME_CAP,37.5
L1,1737914400,1737921180,long,6132.0,6087.25,STOP_LOSS_SOFT,-2237.5
L1,1737943200,1737954180,short,6048.25,5999.6338947806,TAKE_PROFIT_HARD,2430.81
L1,1738029600,1738062000,short,6041.0,6084.25,STOP_LOSS_SOFT,-2162.5
L1,1738620000,1738669440,short,6034.25,6060.75,TIME_CAP,-1325.0
L1,1738692000,1738741440,short,6045.75,6038.0,TIME_CAP,387.5
L1,1738778400,1738827840,long,6090.0,6093.75,TIME_CAP,187.5
L1,1738850400,1738903440,short,6095.5,6104.5,TIME_CAP,-450.0
L1,1739124000,1739173440,short,6050.0,6076.5,TIME_CAP,-1325.0
L1,1739224800,1739274300,short,6070.0,6088.25,TIME_CAP,-912.5
L1,1739340000,1739349000,short,6086.5,6037.8838947806,TAKE_PROFIT_HARD,2430.81
L1,1740146400,1740372240,short,6047.5,6063.0,TIME_CAP,-775.0
L1,1740463200,1740483000,short,5980.5,5931.8838947806,TAKE_PROFIT_HARD,2430.81
L1,1740636000,1740650160,long,6004.75,5954.5,STOP_LOSS_SOFT,-2512.5
L1,1742191200,1742204160,long,5666.75,5715.3661052194,TAKE_PROFIT_HARD,2430.81
L1,1742277600,1742291100,long,5723.75,5677.0,STOP_LOSS_SOFT,-2337.5
L1,1742392800,1742395980,short,5691.25,5740.5,STOP_LOSS_SOFT,-2462.5
L1,1742508000,1742546460,long,5722.25,5673.75,STOP_LOSS_SOFT,-2425.0
L1,1742810400,1742863440,long,5802.0,5807.0,TIME_CAP,250.0
L1,1742997600,1743050640,short,5751.5,5758.25,TIME_CAP,-337.5
L1,1743487200,1743502260,long,5659.5,5611.75,STOP_LOSS_SOFT,-2387.5
L1,1743573600,1743593160,short,5654.5,5699.5,STOP_LOSS_SOFT,-2250.0
L1,1745820000,1745845800,long,5543.5,5500.75,STOP_LOSS_SOFT,-2137.5
L1,1745892000,1745935500,short,5553.75,5596.0,STOP_LOSS_SOFT,-2112.5
L1,1745964000,1746002580,short,5558.5,5509.8838947806,TAKE_PROFIT_HARD,2430.81
L1,1746439200,1746492300,long,5669.25,5656.5,TIME_CAP,-637.5
L1,1746496800,1746546240,short,5649.0,5649.0,TIME_CAP,0.0
L1,1746583200,1746626880,short,5652.5,5603.8838947806,TAKE_PROFIT_HARD,2430.81
L1,1748340000,1748349600,short,5886.25,5930.75,STOP_LOSS_SOFT,-2225.0
L1,1748354400,1748407440,long,5935.75,5926.75,TIME_CAP,-450.0
L1,1748455200,1748459460,long,5925.5,5974.1161052194,TAKE_PROFIT_HARD,2430.81
L1,1748498400,1748511840,short,5984.25,5935.6338947806,TAKE_PROFIT_HARD,2430.81
L1,1748944800,1748997840,long,5944.5,5977.25,TIME_CAP,1637.5
L1,1749031200,1749084240,long,5995.0,5978.25,TIME_CAP,-837.5
L1,1749160800,1749201480,long,5956.0,6004.6161052194,TAKE_PROFIT_HARD,2430.81
L1,1749204000,1749429840,long,6019.5,5995.75,TIME_CAP,-1187.5
L1,1749448800,1749501840,long,6010.75,6018.75,TIME_CAP,400.0
L1,1749520800,1749570240,short,6012.75,6035.25,TIME_CAP,-1125.0
L1,1749592800,1749642240,short,6029.5,6051.5,TIME_CAP,-1100.0
L1,1749679200,1749726120,short,6004.5,6049.0,STOP_LOSS_SOFT,-2225.0
L1,1750140000,1750193040,short,6053.75,6043.0,TIME_CAP,537.5
L1,1750212000,1750261440,long,6045.75,6049.0,TIME_CAP,162.5
L1,1750327200,1750358520,short,5978.25,6020.75,STOP_LOSS_SOFT,-2125.0
L1,1750672800,1750701780,long,6041.5,6090.1161052194,TAKE_PROFIT_HARD,2430.81
L1,1750860000,1750913040,short,6138.5,6167.25,TIME_CAP,-1437.5
L1,1751032800,1751258640,short,6216.5,6246.5,TIME_CAP,-1500.0
L1,1751335200,1751384640,short,6243.5,6254.0,TIME_CAP,-525.0
L1,1751479200,1751528640,long,6277.0,6280.0,TIME_CAP,150.0
L1,1751925600,1751975040,long,6272.0,6273.0,TIME_CAP,50.0
L1,1752040800,1752093840,long,6280.25,6297.0,TIME_CAP,837.5
L1,1752544800,1752594240,long,6330.25,6298.75,TIME_CAP,-1575.0
L1,1752602400,1752651840,short,6273.75,6279.0,TIME_CAP,-262.5
L1,1752832800,1753058700,short,6345.0,6342.75,TIME_CAP,112.5
L1,1753164000,1753217040,short,6337.5,6352.25,TIME_CAP,-737.5
L1,1753279200,1753332240,long,6382.0,6399.75,TIME_CAP,887.5
L1,1753380000,1753429440,short,6406.5,6407.0,TIME_CAP,-25.0
L1,1753970400,1754018100,short,6386.5,6337.8838947806,TAKE_PROFIT_HARD,2430.81
L1,1754330400,1754379840,long,6369.5,6371.75,TIME_CAP,112.5
L1,1755021600,1755071040,long,6468.5,6481.25,TIME_CAP,637.5
L1,1755237600,1755463440,short,6491.75,6481.25,TIME_CAP,525.0
L1,1755756000,1755809040,short,6403.75,6391.25,TIME_CAP,625.0
L1,1756072800,1756122300,short,6474.5,6476.75,TIME_CAP,-112.5
